B3XM,Boeing 737 MAX 10,https://en.wikipedia.org//wiki/Boeing_737_MAX#737_MAX_10
B412,Bell 412,https://en.wikipedia.org//wiki/Bell_412
B429,Bell 429,https://en.wikipedia.org//wiki/Bell_429
B461,BAe 146-100 / Avro RJ70,https://en.wikipedia.org//wiki/British_Aerospace_146
B462,BAe 146-200 / Avro RJ85,https://en.wikipedia.org//wiki/British_Aerospace_146
B463,BAe 146-300 / Avro RJ100,https://en.wikipedia.org//wiki/British_Aerospace_146
B52,Boeing B-52 Stratofortress,https://en.wikipedia.org//wiki/Boeing_B-52_Stratofortress
B703,Boeing 707,https://en.wikipedia.org//wiki/Boeing_707
B712,Boeing 717,https://en.wikipedia.org//wiki/Boeing_717
B720,Boeing 720B,https://en.wikipedia.org//wiki/Boeing_720
B721,Boeing 727-100,https://en.wikipedia.org//wiki/Boeing_727
B722,Boeing 727-200,https://en.wikipedia.org//wiki/Boeing_727
B732,Boeing 737-200,https://en.wikipedia.org//wiki/Boeing_737
B732,Boeing 737-200 Freighter,https://en.wikipedia.org//wiki/Boeing_737_Classic
B733,Boeing 737-300,https://en.wikipedia.org//wiki/Boeing_737_Classic
B733,Boeing 737-300 Winglets,https://en.wikipedia.org//wiki/Boeing_737_Classic
B733,Boeing 737-300 Freighter,https://en.wikipedia.org//wiki/Boeing_737_Classic
B734,Boeing 737-400,https://en.wikipedia.org//wiki/Boeing_737_Classic
B734,Boeing 737-400 Freighter,https://en.wikipedia.org//wiki/Boeing_737_Classic
B735,Boeing 737-500,https://en.wikipedia.org//wiki/Boeing_737_Classic
B735,Boeing 737-500 Winglets,https://en.wikipedia.org//wiki/Boeing_737_Classic
B736,Boeing 737-600,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B738,Boeing 737-800,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B739,Boeing 737-900 / Boeing 737-900ER,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B737,Boeing 737-700 / Boeing 737-700ER,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B737,Boeing 737-700 Winglets,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B738,Boeing 737-800 Winglets,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B738,Boeing 737-800 Freighter Winglets,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B738,Boeing 737-800 Freighter,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B739,Boeing 737-900 Winglets,https://en.wikipedia.org//wiki/Boeing_737_Next_Generation
B741,Boeing 747-100,https://en.wikipedia.org//wiki/Boeing_747
B741,Boeing 747-100 Freighter,https://en.wikipedia.org//wiki/Boeing_747
B742,Boeing 747-200,https://en.wikipedia.org//wiki/Boeing_747
B742,Boeing 747-200M,https://en.wikipedia.org//wiki/Boeing_747
B742,Boeing 747-200F,https://en.wikipedia.org//wiki/Boeing_747
B743,Boeing 747-300,https://en.wikipedia.org//wiki/Boeing_747
B743,Boeing 747-300M,https://en.wikipedia.org//wiki/Boeing_747
B744,Boeing 747-400 / Boeing 747-400ER,https://en.wikipedia.org//wiki/Boeing_747-400
B744,Boeing 747-400M,https://en.wikipedia.org//wiki/Boeing_747-400
B744,Boeing 747-400F / Boeing 747-400ERF,https://en.wikipedia.org//wiki/Boeing_747-400
B748,Boeing 747-8I,https://en.wikipedia.org//wiki/Boeing_747-8
